category,model,condition,img_auroc,pix_auroc
carpet,PaDiM,gaussian_blur_sev1,0.9089,0.9824
carpet,PaDiM,gaussian_blur_sev2,0.9141,0.9825
carpet,PaDiM,gaussian_blur_sev3,0.9278,0.9822
carpet,PaDiM,gaussian_blur_sev4,0.9298,0.9812
carpet,PaDiM,gaussian_blur_sev5,0.9025,0.9764
carpet,PaDiM,brightness_change_sev1,0.797,0.978
carpet,PaDiM,brightness_change_sev2,0.7339,0.9733
carpet,PaDiM,brightness_change_sev3,0.4972,0.9454
carpet,PaDiM,brightness_change_sev4,0.362,0.8865
carpet,PaDiM,brightness_change_sev5,0.4462,0.808
carpet,PaDiM,jpeg_compression_sev1,0.9057,0.9825
carpet,PaDiM,jpeg_compression_sev2,0.9017,0.9824
carpet,PaDiM,jpeg_compression_sev3,0.9053,0.9822
carpet,PaDiM,jpeg_compression_sev4,0.9093,0.9818
carpet,PaDiM,jpeg_compression_sev5,0.8981,0.9796
carpet,PatchCore,clean,0.8684,0.9568
carpet,PatchCore,gaussian_noise_sev1,0.8672,0.9564
carpet,PatchCore,gaussian_noise_sev2,0.8708,0.9557
carpet,PatchCore,gaussian_noise_sev3,0.8575,0.9549
carpet,PatchCore,gaussian_noise_sev4,0.8262,0.9501
carpet,PatchCore,gaussian_noise_sev5,0.8222,0.9419
carpet,PatchCore,gaussian_blur_sev1,0.87,0.9568
carpet,PatchCore,gaussian_blur_sev2,0.874,0.9567
carpet,PatchCore,gaussian_blur_sev3,0.8888,0.9563
carpet,PatchCore,gaussian_blur_sev4,0.9021,0.9554
carpet,PatchCore,gaussian_blur_sev5,0.8937,0.9467
carpet,PatchCore,brightness_change_sev1,0.7103,0.9485
carpet,PatchCore,brightness_change_sev2,0.6352,0.9385
carpet,PatchCore,brightness_change_sev3,0.4129,0.8765
carpet,PatchCore,brightness_change_sev4,0.2873,0.8009
carpet,PatchCore,brightness_change_sev5,0.3002,0.7493
carpet,PatchCore,jpeg_compression_sev1,0.8692,0.9566
carpet,PatchCore,jpeg_compression_sev2,0.8736,0.9568
carpet,PatchCore,jpeg_compression_sev3,0.866,0.9561
carpet,PatchCore,jpeg_compression_sev4,0.8624,0.9547
carpet,PatchCore,jpeg_compression_sev5,0.8872,0.9551
